FIA.Code,jenkins_model,PLANTS.Code,Scientific.Name.with.Author,Common.Name,Family,habit,Genus,Species,Adj.Factor,model_name,betaZero,betaOne,chojnacky,Species.Group,Group,MedianSpecGrav,beta0,beta1
NA,,ARTR2,Artemisia tridentata Nutt.,big sagebrush,Asteraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ARTRT2,Artemisia tripartita Rydb. ssp. tripartita,threetip sagebrush,Asteraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,ARVIM,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,Mariposa manzanita,Ericaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,mixed hardwood,ASAN6,Asimina angustifolia Raf.,slimleaf pawpaw,Annonaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,ASIMI,Asimina Adans.,pawpaw,Annonaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,ASIN,Asclepias incarnata L.,swamp milkweed,Asclepiadaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,ASIN12,Asimina incana (W. Bartram) Exell,woolly pawpaw,Annonaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,ASPA18,Asimina parviflora (Michx.) Dunal,smallflower pawpaw,Annonaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
367,mixed hardwood,ASTR,Asimina triloba (L.) Dunal,pawpaw,Annonaceae,tree,Asimina,triloba,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,ATCA2,Atriplex canescens (Pursh) Nutt.,fourwing saltbush,Chenopodiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,ATCO,Atriplex confertifolia (Torr. & FrÃ©m.) S. Watson,shadscale saltbush,Chenopodiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,BABR,Baccharis brachyphylla A. Gray,shortleaf baccharis,Asteraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,soft maple/birch,BEAL2,Betula alleghaniensis Britton,yellow birch,Betulaceae,tree,Betula,alleghaniensis,0.789,hw2,-1.9123,2.3651,Betulaceae0.50-0.59spg,hardwood,Hardwood,0.55,-1.8096,2.348
NA,soft maple/birch,BECAC,Betula Ã—caerulea Blanch. var. caerulea,blue birch,Betulaceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,Betulaceae0.50-0.59spg,hardwood,Hardwood,0.55,-1.8096,2.348
6235,,BEDI2,Bernardia dichotoma (Willd.) MÃ¼ll. Arg.,Caribbean myrtlecroton,Euphorbiaceae,shrub,Bernardia,dichotoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,soft maple/birch,BEGL,Betula glandulosa Michx.,resin birch,Betulaceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,Betulaceae0.50-0.59spg,hardwood,Hardwood,0.55,-1.8096,2.348
,,BEGL/BENA,,dwarf birch,Betulaceae,shrub,NA,NA,0.84,hw3,-1.9123,2.3651,Betulaceae0.50-0.59spg,hardwood,Hardwood,0.55,-1.8096,2.348
